ID ,Nme in English,Name in Amharic,Position,Place of Assignment,Detail,,
429,Seifu Bogale G/Egziabher,?? ??? ??? ?/???????,?????? ??? ???,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
430,Serata Gulma Gobena,?? ??? ??? ???,??? ?? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
431,Simeneh Alitaye,?? ????  ????,????? ???-??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
432,Shiferaw Alemu Feleqe,?? ???? ??? ???,?????? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
433,Shiferaw Feyissa Hordufa,?? ???? ??? ????,?????? ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
434,Shiferaw Telila Senbetu,?? ???? ??? ????,?????? ??????  ??? ??????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
435,Sissay Solomon Dinku,?? ??? ???? ???,??? ??? ??????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
436,Selomon Alemayehu Lemma,?? ???? ????? ??,?????? ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
437,Solomon Alula Awulachew,?? ???? ??? ?????,?????? ??? ???,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
438,Solomon Kebede Tessema,?? ???? ??? ???,?? ??  ?? ,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
439,Tadela Assefa G/Mariyam,?? ??? ??? ?/???? ,?????? ??? ?????? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
440,Tadesse H/Mariyam Ounka,?? ??? ?/???? ???,???????? ???? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
441,Tadesse Hatiya Ouge,?? ??? ??? ??,????? ??? ???,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
442,Dr. Tafesse Gebru Meskelie,?/? ??? ??? ????,?????? ??? ?? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
443,Takele H/Meskel Haiyle,?? ??? ?/???? ???,?????? ??????  ??? ??????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
444,Taye Agonafir G/Wold,?? ?? ????? ?/???,??? ??? ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
445,Dr. Teferi Belay,?/? ??? ???,???? ??????? ????? ?????? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
446,Teka Abadi G/Wahid,?? ??  ??? ?/???,?????? ???? ??,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
447,T/Haymanot Nigatu Beyene,?? ?/?????  ???  ???,????? ?? ???? ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
448,Tesfaye Kidane Alemie,?? ???? ??? ???,??? ???? ????? ???? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
449,Teshome Hh/Mariyam Dagne,?? ??? ?/???? ??,?????? ?????? ?/?/????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
450,Tewodros Dawit Berhe,?? ????? ??? ???,?????? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
451,Tezera Tadesse T/Haiymanot,?? ??? ??? ?/?????,??? ???? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
452,Tilahun Sarka,?? ???? ???,?????? ??? ???? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
453,Teoum Tekea,?? ??? ???,???? ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
454,Tigabu Sharew,?? ???  ??? ,???? ??? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
455,Tiruneh Mitafa Gouta,?? ???? ??? ??,????? ??? ???,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
456,Tseganesh Meleshe Bezabih,?/? ???? ??? ????,????????? ???? ??? ,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
457,W/Gebriel Tewolde,?? ????????  ????,?????? ???????? ??????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
458,Wondosen Akalu Worku,?? ????? ??? ???,??? ??? ???? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
459,Wondimagene Negera,?? ?????? ??? ,?????? ??? ???,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
460,Workneh Birhanu,?? ????? ????,?????? ??? ???? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
461,Worknrh Delelegne,?? ????? ????,???? ????? ???? ??? ?????? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
462,Worku Chekol Zewude,?? ??? ??? ???,???  ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
463,Worku Getahun Agegnehu,?? ??? ???? ????,??? ???? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
464,Yared Molla W/Silassie,?? ??? ??  ?/???,?????? ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
465,Yehuwala Gessese Gelaye,?? ??? ??? ???,??????  ??? ???,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
466,Yeshaw Salih Abera,?? ??? ??? ???,??? ?????? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
467,Yewondwosen Etefa Kumsa,?? ??????? ??? ???,?????? ???? ???,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
468,Yigzaw Mekonnen,?? ???? ????,?????? ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
469,Yimam Mehammed Yimer,?? ??? ???? ???,????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
470,Yehwanes Mekonnen H/Wold,?? ???? ???? ?/???,?????? ???? ?? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
471,Yohannes Kebede Desta,?? ???? ??? ???,?? ???? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
472,Zerihun Desta Zeleke,?? ???? ??? ???,?????? ???? ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
473,Dr. Abiy Ahmed Ali,??? ?/? ??? ???? ,??.?.?.? ?/????? ,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
474,Demeke Mekonnen,??? ?? ??? ????  ,??.?.?.? ?/?/????? ,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
475,Dr. Workneh Gebeyehu,??? ?/? ????? ????,????? ,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
476,Motuma Meqasa,??? ?? ??? ???,????? ,???? ????? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
477,W/Ro Ouba Mehammed,???? ?/? ?? ????,????? ,?????? ???/??/?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
478,Jantirar Abay,??? ?? ????? ??? ,????? ,???? ???? ??? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
479,Kebede Chanie,??? ?? ??? ??,????? ,?????? ????? ??? ??? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
480,Ambachew Mekonnen,??? ?/? ????? ????,????? ,??????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
481,Abrham Tekeste,??? ?/? ????? ???? ,????? ,?????? ???? ???? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
482,Tagesse Chafo,??? ?? ??? ??,????? ,????? ????? ??? ??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
483,Birhanu Tsegaye,??? ?? ???? ???,???? ?/??,????? ???? ??? ??  ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
484,Gemedo Dale,??? ?/? ??? ??,????? ,????????? ???? ???? ??? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
485,Shiferaw Shigutie,??? ?? ???? ???,????? ,?????? ?????? ??? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
486,Melaku Alebel,??? ?? ??? ???? ,????? ,???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
487,Siraj Feggesa,??? ?? ??? ???,????? ,???????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
488,"Dr.,Enginner Sileshi Bekele",??? ?/? ????? ??? ???,????? ,???????? ?????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
489,Enginner Ayisha Mehammed,???? ????? ??? ????,????? ,????????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
490,Dr. Hirut W/Mariyam,???? ?/? ??? ??? ????,????? ,?????? ????? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
491,Meless Alemu,??? ?? ??? ??? ,????? ,?????? ????? ????? ?? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
492,Dr. Tilaye Getie,??? ?/? ??? ??,????? ,?????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
493,Dr. Amir Aman,??? ?/? ??? ??? ,????? ,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
494,Dr. Enginner Getahun Mekuriya,??? ?/? ????? ???? ????,????? ,?????? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
495,Foziya Amin,???? ?/? ??? ??? ,????? ,????? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
496,Yalem Tsegaye,???? ?/? ??? ???,????? ,????? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
497,Eristu Yirda,??? ?? ???? ??? ,????? ,?????? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
498,Ambassador Teshome Toga,??? ?????? ??? ??,????? ,?????? ???? ????? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
499,Dr. Yinager Dessie,??? ?/? ???? ??,????? ?????? ???? ,???? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
500,Ahmed Shide,??? ?? ???? ??,??? ????? ,?????? ?????? ???? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
501,Oumer Hussien,??? ?? ??? ??? ,?????? ???? ?? ??????,?????? ???? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
502,Asmelash W/Silassie,??? ?? ????? ??????,???? ?/?/?? ?????? ?? ??? ????? ,???? ????? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
503,Fetlework G/Egziabher,???? ?/? ????? ?/??????? ,?????? ???? ?????? ?/?/??????? ???? ?? ??????,????? ????? ?/?? /????? ??/,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
504,Fekadu Tessema,??? ?? ??? ???,?????? ???? ?????? ?/?/??????? ???? ??????,????? ????? ?/?? /????? ??/,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
505,Tefera Deribew,??? ?? ??? ???? ,?????? ???? ?????? ?/?/??????? ???? ???? ??? ??????,????? ????? ?/?? /????? ??/,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
506,Demitu Hambisa,???? ?/? ??? ????,????? ????? ?/?? ???? ???? ???? ????? ,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
507,Dr. Arkebe Ekubay,??? ?/? ???? ???? ,?????? ???? ????? ??? ?????? ????? ??? ??? ???,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
508,Abmbassador Girma Biru,??? ?????? ??? ??,?????? ???? ????? ????? ???? ???? ???? ?? ??????,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
509,Moges Balcha,??? ?? ??? ??? ,?????? ???? ??????  ???? ???? ??????? ???? ??? ?????? ,????? ????? ?/?? /????? ??/,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
510,Ambassador Siyum Mesfin,??? ?????? ??? ???? ,?????? ???? ????? ????? ??????? ???? ???? ?? ??????,???? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
511,Abadula Gemmeda,??? ?? ???? ??? ,????? ????? ????? ????? ???? ????? ,???? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
512,Ambassador Degife Bula,??? ?????? ??? ??,?????? ???? ????? ????? ??? ???? ?? ???? ??????? ?? ??????,????? ????? ??? ???? ?? ???? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
513,Ahmed Abitew,??? ?? ???? ???? ,?????? ???? ?? ??????,???? ???? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
514,Teferi Tiyaro,??? ?? ??? ??? ,?????? ???? ,???? ???? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
515,Getachew Assefa,??? ?? ???? ??? ,?????? ???? ?? ??????,???? ???? ????? ??????  ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
516,Alemnew Mekonnen,??? ?? ????? ????,?????? ???? ?????? ,???? ??? ???? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
517,Legesse Tulu,??? ?? ??? ?? ,?????? ???? ?/??????,???? ??? ???? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
518,Tsegaye Mamo,??? ?? ??? ??,?????? ???? ????? ??? ?/?????? ,???? ??? ???? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
519,Demissie Shito,??? ?? ??? ??,?????? ???? ?????? ??? ??? ?/?????? ,???? ??? ???? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
520,Meles Tilahun,??? ?? ??? ???? ,???? ????? ??? ?? ??? ?????? ??? ????? ??? ,???? ????? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
521,Atsibha Aregawi,??? ?? ???? ????  ,???? ????? ??? ?? ??? ?????? ??? ????? ??? ,???? ????? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
522,Getachew Bedanie,??? ?? ???? ??? ,???? ????? ??? ?? ??? ?????? ??? ????? ??? ,???? ????? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
523,Amanuel,??? ?? ????? ,???? ????? ??? ?? ??? ?????? ??? ????? ??? ,???? ????? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
524,Hirut Zemene,???? ?/? ??? ??? ,????? ????? ??? ????? ???,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
525,Professor Afwork Kassu,????? ????? ??,????? ???,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
526,Dr. Aklilu H/Michael,??? ?/? ???? ???????,?????? ????? ??? ????? ???,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
527,Birtukan Ayano,???? ?/? ????? ???,????? ???,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
528,Getachew H/Mariyam,??? ?? ???? ???????,????? ???,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
529,Ambassador Lelealem G/Yohannes,??? ?????? ????? ?/????,????? ???,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
530,Professor Fekadu Beyene,??? ????? ??? ??? ,????? ???,?????? ?????? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
531,Dr. Kaba Ourgessa,??? ?/? ?? ????,????? ???,?????? ?????? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
532,Dr. Eyasu Abrha,??? ?/? ??? ????,????? ???,?????? ?????? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
533,Dr. G/Egziabher G/Yohannes,??? ?/? ?/??????? ?/????,????? ???,?????? ?????? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
534,Tesfaye Mengiste,??? ?? ???? ????? ,????? ???,?????? ?????? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
535,Mehammud Ahmed Geas,??? ?? ???? ???? ??? ,????? ???,?????? ?????? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
536,Alebachew Nigussie,??? ?? ????? ???,????? ???,?????? ?????? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
537,Mulugeta Wuletaw,??? ?? ???? ???? ,?????? ????? ??? ??? ???? ????? ???,?????? ????? ??? ??? ???? ????? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
538,Awol Wegirso,??? ?? ??? ????,????? ?? ?????? ??????? ??? ????? ??? ,?????? ????? ??? ??? ???? ????? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
539,Kaydaki Gezahigne,??? ?? ???? ????,???? ????? ????? ??? ??? ??? ????? ??? ,?????? ????? ??? ??? ???? ????? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
540,Esmael Alisero,??? ?? ????? ????,?????? ??? ???? ?????? ???? ,?????? ????? ??? ??? ???? ????? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
541,Ahmed Toussa,??? ?? ???? ??,????? ???,?????? ????? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
542,Admassu Nebebe,??? ?? ???? ???,????? ???? ????? ??? ,?????? ????? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
543,Kefyalew Tefera,??? ?? ????? ??? ,????? ???,????? ????? ??? ??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
544,Nega Berha,??? ?? ?? ???,????? ?????? ???? ????? ??? ,????? ????? ??? ??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
545,Ayelech Eshetie,???? ?/? ???? ???,??? ??? ?? ???? ???? ????? ??? ,????? ????? ??? ??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
546,Teka Gebrekidan,??? ?? ?? ?????? ,????? ???? ??? ??,????? ???? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
547,Geleta Seyum,??? ?? ??? ??? ,????? ???? ??? ??,???? ???? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
548,Admassu Ango,??? ?? ???? ???,????? ???? ??? ??,???? ???? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
549,Habtamu Sissay,??? ?? ???? ??? ,????? ???,???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
550,Dr. Mebrhatu Melesse,??? ?/? ???? ??? ,????? ???,???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
551,Yohannes Dinkayehu,??? ?? ???? ?????,????? ???,??????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
552,Ato Ayana Zewudie,??? ?? ??? ??? ,????? ???,??????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
553,Bogale Feleke,??? ?? ??? ??? ,???????? ?? ??? ???? ???,??????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
554,Hiwot Mossisa,???? ?/? ???? ???,????? ???,???????? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
555,Eshetie Asfaw,??? ?? ??? ???? ,????? ???,???????? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
556,Million Matheous,??? ?? ???? ???? ,????? ???,???????? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
557,Sissay Tola,??? ?? ??? ??,????? ???,?????? ??????? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
558,Dr. Mebratu G/Mariam,??? ?/? ???? ?/???? ,????? ???,?????? ??????? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
559,Dr. Negash Waqshaw,??? ?/? ??? ???? ,????? ???,???????? ?????? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
560,Dr. Abrha Adugna,??? ?/? ???? ???,????? ???,???????? ?????? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
561,Dr. Firehiwot Woldehanna,??? ?/? ?????? ?????,??????? ??? ????? ???,???????? ?????? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
562,W/Ro Firenesh Mekuriya,???? ?/? ???? ????,????? ???,???????? ?????? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
563,Colonel Tazer G/Egziabher,??? ???? ??? ?/??????? ,????? ???,???? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
564,Hirut Biresa,???? ?/? ??? ???,???? ??? ??? ????? ???,???? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
565,Gebremeskel Chala,??? ?? ??????? ??,???? ????? ?????? ???? ??? ????? ??? ,????????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
566,Solomon Hailu,??? ?? ???? ??? ,?????? ??? ????? ???,????????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
567,Kalihid Abdrahman,??? ?? ??? ??????? ,????? ???,????????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
568,Ambassador Misganaw Admassu,??? ?????? ????? ????,?????? ??? ??? ????? ??? ,?????? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
569,Ambassador Misganu Arega,??? ?????? ???? ??? ,????? ???,?????? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
570,Assefa Kumsa,??? ?? ??? ???,????? ???,????? ????? ????? ?? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
571,Dr. Kongtut Lam,??? ?/? ????? ?? ,????? ???? ?? ????? ??? ,????? ????? ????? ?? ?????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
572,Mehammed Ahmedin,??? ?? ???? ????? ,?????? ????? ??? ????? ??? ,?????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
573,Samuel Kifle,??? ?/? ???? ???,????? ????? ??? ????? ??? ,?????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
574,Teshome Lemma,??? ?? ??? ??,?????? ?? ?????? ???? ??? ????? ??? ,?????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
575,Sahilesilassie Teka,??? ?? ?????? ?? ,????? ???,?????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
576,Dr. Kebede Worku,??? ?/? ??? ??? ,??????? ??? ????? ??? ,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
